Tahun,Provinsi,Jenis Ikan,Volume (ton),Nilai (Rp. Juta),Harga Rata-Rata Tertimbang (Rp/kg)
2020,JAWA TIMUR,LEMURU,20178.49,202070,164568
2020,JAWA TIMUR,LAYANG BENGGOL,20012.79,259809,137965
2020,JAWA TIMUR,TONGKOL ABU-ABU,17433.14,204078,181577
2020,JAWA TIMUR,TEMBANG,16340.14,163426,125513
2020,JAWA TIMUR,SWANGGI,15025.59,228754,149447
2020,JAWA TIMUR,RAJUNGAN,14651.78,654754,682290
2020,JAWA TIMUR,TONGKOL LISONG,13876.6,144406,34475
2020,JAWA TIMUR,LAYUR,13551.64,308059,384919
2020,JAWA TIMUR,CAKALANG,13212.43,219081,178990
2020,JAWA TIMUR,KEMBUNG,13191.16,214206,290953
2020,JAWA TIMUR,KURISI,13153.51,196579,239536
2020,JAWA TIMUR,KUNIRAN; BIJI NANGKA,12922.84,176344,168476
2020,JAWA TIMUR,TERI NASI,12086.05,257714,253663
2020,JAWA TIMUR,TONGKOL,11982.55,181221,187973
2020,JAWA TIMUR,KERANG DARAH,11149.63,120350,123598
2020,JAWA TIMUR,TALANG-TALANG,10740.83,107602,92000
2020,JAWA TIMUR,CUMI-CUMI,9673.74,350490,617924
2020,JAWA TIMUR,GULAMAH,8568.08,97021,220767
2020,JAWA TIMUR,PEPEREK TOPANG,7146.97,72608,84173
2020,JAWA TIMUR,KERANG HIJAU,6691.1,83251,99059
2020,JAWA TIMUR,TONGKOL KOMO,6574.22,99693,101633
2020,JAWA TIMUR,LAYANG,6432.96,82262,124041
2020,JAWA TIMUR,KAPAS-KAPAS,6428.76,69598,52632
2020,JAWA TIMUR,BELANAK,5507.24,96609,271183
2020,JAWA TIMUR,LAYANG LIDI; LAYAR DELES,5228.1,53131,70503
2020,JAWA TIMUR,KAKAP MERAH,4860.68,256873,656605
2020,JAWA TIMUR,BIJI NANGKA KARANG,4609.18,67396,36733
2020,JAWA TIMUR,TUNA SIRIP KUNING; MADIDIHANG,4605.5,114397,93808
2020,JAWA TIMUR,SELAR KUNING,4507.6,60273,128271
2020,JAWA TIMUR,KERAPU LUMPUR,3828.98,139954,319674
2020,JAWA TIMUR,BAWAL HITAM,3717.59,139870,347280
2020,JAWA TIMUR,GURITA,3613.99,79051,180858
2020,JAWA TIMUR,KURO; SENANGIN,3510.2,109603,124268
2020,JAWA TIMUR,KAKAP PUTIH,3500.69,147012,319000
2020,JAWA TIMUR,TENGGIRI,2996.78,132131,665359
2020,JAWA TIMUR,TETENGKEK,2878.98,29493,111683
2020,JAWA TIMUR,KUWE,2782.02,69840,332924
2020,JAWA TIMUR,TERI GEPENG,2679.26,26877,53768
2020,JAWA TIMUR,NILA,2603.81,51539,591980
2020,JAWA TIMUR,SLENGSENG,2534.1,29869,50311
2020,JAWA TIMUR,TONGKOL BANYAR,2482.79,39913,156671
2020,JAWA TIMUR,PEPEREK BONDOLAN,2379.04,27415,123710
2020,JAWA TIMUR,EKOR KUNING,2204.45,33646,119405
2020,JAWA TIMUR,BELOSO,2142.92,23425,85969
2020,JAWA TIMUR,KEPITING,2094.75,124560,638411
2020,JAWA TIMUR,TERI KUNING,2057.81,20780,40522
2020,JAWA TIMUR,LENCAM,2000.84,40970,111027
2020,JAWA TIMUR,TUNA MATA BESAR,1953.57,40859,102496
2020,JAWA TIMUR,LAYANG ANGGUR,1945.97,29585,46501
2020,JAWA TIMUR,MANYUNG BESAR,1936.47,36294,104836
2020,JAWA TIMUR,SIPUT,1925.82,25188,61561
2020,JAWA TIMUR,PARI KEMBANG,1889.73,40720,226007
2020,JAWA TIMUR,BAWAL PUTIH,1764.48,73602,356645
2020,JAWA TIMUR,UDANG PUTIH; UDANG API-API,1763.24,91601,602541
2020,JAWA TIMUR,AYAM-AYAM; KAMBING-KAMBING,1728.45,25228,74400
2020,JAWA TIMUR,BESOT,1567.84,23425,51153
2020,JAWA TIMUR,HIU LANJAMAN,1543.38,28149,62391
2020,JAWA TIMUR,UDANG JERBUNG,1537.28,93170,508803
2020,JAWA TIMUR,TAWES,1516.07,20477,486108
2020,JAWA TIMUR,SELAR BENTONG,1486.27,16897,66382
2020,JAWA TIMUR,ALU-ALU SIRIP HITAM; BARAKUDA SIRIP HITAM,1448.85,20395,52819
